1378,338,2014,7,25
1378,620,2014,10,12
1378,988,2014,10,18
1378,44,2014,10,26
1378,346,2014,11,17
1378,850,2014,12,1
1378,1110,2014,12,1
1378,259,2014,12,4
1378,888,2014,12,12
1378,583,2014,12,15
1378,862,2014,12,20
1378,308,2015,1,22
529,1010,2015,5,8
529,618,2015,5,11
529,986,2015,5,13
529,305,2015,5,13
529,79,2015,5,15
529,655,2015,5,15
529,534,2015,5,16
529,1102,2015,5,17
529,731,2015,5,19
529,627,2015,5,25
529,663,2015,5,26
529,799,2015,5,27
529,920,2015,5,27
529,974,2015,5,30
529,386,2015,6,3
529,405,2015,6,6
529,367,2015,6,6
511,78,2014,8,14
511,199,2014,8,25
511,6,2014,8,28
511,314,2014,9,6
511,1042,2014,9,15
511,865,2014,10,3
511,626,2014,10,8
511,314,2014,10,10
511,620,2014,10,11
511,323,2014,10,11
511,1048,2014,10,13
511,463,2014,10,14
511,295,2014,11,14
511,305,2014,11,29
511,850,2014,12,1
511,1110,2014,12,1
511,295,2014,12,17
511,177,2014,12,26
511,305,2014,12,29
511,536,2015,1,9
511,537,2015,1,12
511,139,2015,1,22
1350,338,2014,7,26
1350,199,2014,8,25
1350,481,2014,8,26
1350,784,2014,8,27
1350,413,2014,10,13
1350,762,2014,11,19
1350,950,2014,11,20
1350,345,2014,11,22
1350,361,2014,11,23
1350,144,2014,11,24
1350,479,2014,11,25
1350,910,2014,11,27
1350,862,2014,12,20
1350,554,2014,12,20
1350,299,2014,12,22
1350,592,2014,12,30
1350,74,2014,12,30
1350,751,2015,1,11
1350,361,2015,1,20
1087,952,2015,4,25
1087,635,2015,4,30
1087,643,2015,5,8
1087,341,2015,5,8
1087,618,2015,5,9
1087,438,2015,5,10
1087,585,2015,5,12
1087,986,2015,5,14
1087,527,2015,5,14
1087,1057,2015,5,14
1087,129,2015,5,15
1087,1102,2015,5,15
1087,1102,2015,5,16
1087,384,2015,5,16
1087,631,2015,5,17
1087,731,2015,5,19
1087,1025,2015,5,20
1087,579,2015,6,4
1087,1024,2015,6,7
1087,466,2015,6,12
1759,555,2014,7,12
1759,78,2014,8,14
1759,10,2014,10,1
1759,305,2014,11,30
1759,836,2014,12,26
1759,814,2015,1,2
1759,1006,2015,1,27
1759,661,2015,2,3
1759,433,2015,2,4
1759,945,2015,2,5
1759,231,2015,2,6
1759,294,2015,2,9
1759,882,2015,2,10
1759,404,2015,2,12
1759,272,2015,2,23
1759,100,2015,2,28
1759,517,2015,3,6
1759,548,2015,3,8
1759,1081,2015,3,9
1759,1111,2015,3,11
1759,1157,2015,3,13
1759,450,2015,3,14
1759,1011,2015,3,14
1759,328,2015,3,14
1759,905,2015,3,16
1759,22,2015,3,17
1759,250,2015,3,28
1759,148,2015,4,16
1759,901,2015,4,18
1759,216,2015,4,18
1759,530,2015,4,18
1759,728,2015,4,18
1759,813,2015,5,4
493,346,2014,10,2
493,620,2014,10,11
493,688,2014,10,21
493,288,2014,10,23
493,1104,2014,11,11
493,92,2014,11,15
493,345,2014,11,23
493,259,2014,12,4
493,247,2014,12,12
493,1075,2014,12,22
493,904,2014,12,29
493,592,2014,12,30
493,1109,2014,12,31
493,1110,2015,1,8
493,57,2015,1,10
1883,1039,2015,4,18
1883,98,2015,4,19
1883,216,2015,4,19
1883,588,2015,4,20
1883,1023,2015,4,21
1883,815,2015,5,3
1883,47,2015,5,6
1883,112,2015,5,6
1883,8,2015,5,6
1883,643,2015,5,8
1883,200,2015,5,12
1883,34,2015,5,17
1883,25,2015,5,18
1883,731,2015,5,20
1883,176,2015,5,21
1883,871,2015,5,21
1883,36,2015,5,25
1883,871,2015,6,1
1883,367,2015,6,7
1785,1120,2015,4,16
