user_id,brand_id,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,18353,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,17572,,
19500,19158,,
19500,28453,,
19500,23662,,
19500,28694,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,3926,,
19500,3926,,
19500,3926,,
19500,3926,,
19500,3926,,
19500,21110,,
19500,21110,,
19500,12754,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,3720,,
19500,14020,,
19500,20823,,
19500,11080,,
19500,8850,,
19500,10726,,
19500,10726,,
19500,10726,,
19500,22384,,
19500,29084,,
19500,29084,,
19500,11080,,
19500,14294,,
19500,14294,,
19500,2655,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,2610,,
19500,3190,,
19500,3190,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,8311,,
19500,15222,,
19500,16945,,
19500,14261,,
19500,14261,,
19500,14261,,
19500,11080,,
19500,25249,,
19500,18730,,
19500,20079,,
19500,27946,,
19500,27946,,
19500,27946,,
19500,11329,,
19500,11329,,
19500,14261,,
19500,14261,,
19500,14261,,
19500,14261,,
19500,14261,,
19500,11280,,
19500,11280,,
19500,11280,,
19500,11280,,
19500,11280,,
19500,23662,,
19500,23662,,
19500,23662,,
19500,23662,,
19500,23662,,
19500,23662,,
19500,3650,,
19500,8737,,
19500,21841,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,6542,,
19500,6542,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,143,,
19500,10726,,
19500,6621,,
19500,6621,,
19500,7868,,
19500,7868,,
19500,11080,,
19500,11080,,
19500,11080,,
19500,16077,,
19500,12055,,
19500,18886,,
19500,18886,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,27927,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,19421,,
19500,10014,,
19500,10014,,
19500,11679,,
19500,11679,,
19500,27927,,
19500,27927,,
19500,2610,,
19500,2610,,
19500,14048,,
19500,14048,,
19500,14048,,
19500,14048,,
19500,9549,,
19500,9549,,
19500,9549,,
19500,9549,,
19500,14261,,
19500,11080,,
19500,11080,,
19500,26737,,
19500,26737,,
19500,26737,,
19500,26737,,
19500,26737,,
19500,2641,,
19500,2641,,
19500,2641,,
19500,11080,,
19500,11080,,
19500,143,,
